SG,G,PF,SF,F,UTIL,PG,C,Date,Predicted,Actual,Bruteforce
Luka Doncic,LeBron James,Anthony Davis,Jimmy Butler,Maxi Kleber,Grayson Allen,DeAnthony Melton,Damian Jones,20191029,238.6939931122835,240.75,254.75
Luka Doncic,Bradley Beal,Paul George,Kawhi Leonard,Justin Jackson,CJ Miles,Malik Beasley,Patrick Patterson,20191126,238.77328195202895,203.0,281.5
James Harden,Russell Westbrook,Giannis Antetokounmpo,TJ Warren,Chandler Parsons,Robin Lopez,Tyrone Wallace,Goga Bitadze,20191130,238.80640245596342,260.5,306.0
James Harden,Russell Westbrook,Pascal Siakam,Ben Simmons,Mason Plumlee,Cameron Johnson,Malik Beasley,Ian Mahinmi,20191205,238.78726449908135,296.0,357.25
CJ McCollum,Luka Doncic,Jayson Tatum,Ben Simmons,Tobias Harris,Daniel Theis,Matthew Dellavedova,Kyle OQuinn,20191212,237.91860369160057,253.0,271.5
James Harden,Ben Simmons,Kevin Love,Tobias Harris,Cedi Osman,Keita Bates-Diop,Michael Frazier,Norvel Pelle,20200109,238.77498658133018,193.0,298.5
DeMar DeRozan,Jimmy Butler,Domantas Sabonis,Will Barton,LaMarcus Aldridge,Malik Beasley,TJ McConnell,James Johnson,20200119,238.4909319102196,248.0,269.25
Bradley Beal,Luka Doncic,Anthony Davis,Caris LeVert,Carmelo Anthony,Trevor Ariza,Matthew Dellavedova,Caleb Swanigan,20200123,238.56729034759886,265.25,331.5
Zach LaVine,LeBron James,Anthony Davis,Tobias Harris,Caris LeVert,Luguentz Dort,Raul Neto,John Henson,20200125,238.65915601987015,276.0,407.25
Donovan Mitchell,Kyle Lowry,Pascal Siakam,Norman Powell,OG Anunoby,Devonte Graham,Frank Mason III,Robin Lopez,20200309,238.47754425390673,249.25,348.0
Jrue Holiday,LeBron James,Anthony Davis,Brandon Ingram,Georges Niang,Dion Waiters,Frank Jackson,Patrick Patterson,20200730,238.66815393610656,206.0,276.5
Donovan Mitchell,Luka Doncic,Jayson Tatum,Jaylen Brown,Georges Niang,Semi Ojeleye,Terance Mann,Robert Williams,20200830,238.69198427667126,243.5,312.75
Jamal Murray,Kemba Walker,Jayson Tatum,Kawhi Leonard,Paul Millsap,Mason Plumlee,PJ Dozier,Bol Bol,20200903,238.66651135216776,222.75,209.5
James Harden,LeBron James,Giannis Antetokounmpo,Danny Green,Ben McLemore,Kyle Korver,Gabe Vincent,Meyers Leonard,20200904,238.77583030907763,175.0,300.5
Jamal Murray,Paul George,Jayson Tatum,Kawhi Leonard,Norman Powell,Terence Davis,Tremont Waters,Chris Boucher,20200907,238.65798425328794,219.0,287.75
Jamal Murray,Paul George,Pascal Siakam,Kawhi Leonard,Jerami Grant,Torrey Craig,PJ Dozier,Mason Plumlee,20200909,237.9963190003055,180.25,308.25
Jamal Murray,Kyle Lowry,Jayson Tatum,Kawhi Leonard,JaMychal Green,Brad Wanamaker,Terance Mann,Mason Plumlee,20200911,238.62614232490768,219.0,302.25
Jamal Murray,Paul George,Jae Crowder,Kawhi Leonard,Marcus Morris,Tyler Herro,PJ Dozier,Mason Plumlee,20200915,238.5470504205863,206.5,330.0
Jimmy Butler,Jaylen Brown,Jayson Tatum,Duncan Robinson,Jae Crowder,Marcus Smart,Kendrick Nunn,Kelly Olynyk,20200917,236.6285018856275,197.75,226.25
Jamal Murray,LeBron James,Anthony Davis,Kyle Kuzma,Jerami Grant,Danny Green,PJ Dozier,Mason Plumlee,20200918,238.5926274616886,213.25,208.5
Jimmy Butler,Jaylen Brown,Jayson Tatum,Gordon Hayward,Jae Crowder,Daniel Theis,Kendrick Nunn,Kelly Olynyk,20200919,237.2646835823087,222.75,254.25
Jamal Murray,LeBron James,Anthony Davis,Jerami Grant,Kyle Kuzma,Danny Green,PJ Dozier,Dwight Howard,20200920,238.57583723276068,216.25,248.75
Jamal Murray,LeBron James,Anthony Davis,Jerami Grant,Paul Millsap,Torrey Craig,Monte Morris,JaVale McGee,20200922,238.58659449852007,252.25,250.25
Jimmy Butler,Jaylen Brown,Jayson Tatum,Gordon Hayward,Jae Crowder,Daniel Theis,Brad Wanamaker,Robert Williams,20200923,238.5055983045444,214.25,270.75
Jamal Murray,LeBron James,Anthony Davis,Jerami Grant,Paul Millsap,Kyle Kuzma,Monte Morris,Mason Plumlee,20200924,238.56813587223104,223.5,249.25
Jimmy Butler,Jaylen Brown,Jayson Tatum,Gordon Hayward,Jae Crowder,Daniel Theis,Brad Wanamaker,Kelly Olynyk,20200925,237.28748729032174,236.75,245.75
Jamal Murray,LeBron James,Anthony Davis,Jerami Grant,Paul Millsap,Kentavious Caldwell-Pope,PJ Dozier,Mason Plumlee,20200926,238.61969977467953,242.25,231.25
Jimmy Butler,Jaylen Brown,Jayson Tatum,Gordon Hayward,Jae Crowder,Daniel Theis,Brad Wanamaker,Robert Williams,20200927,237.3303742073632,204.25,245.25
Kawhi Leonard,LeBron James,Anthony Davis,Andrew Wiggins,Joe Harris,Brad Wanamaker,Quinn Cook,Reggie Perry,20201222,238.63687634876845,155.0,270.5
Donovan Mitchell,Shai Gilgeous-Alexander,Brandon Ingram,Will Barton,Zion Williamson,Gary Harris,Facundo Campazzo,Isaiah Hartenstein,20210119,238.52685656995592,219.25,271.5
Bradley Beal,Russell Westbrook,Julius Randle,Eric Gordon,JaeSean Tate,Anthony Gill,Brandon Goodwin,Jordan Bell,20210126,238.6849223100213,210.0,319.25
Kyrie Irving,James Harden,Giannis Antetokounmpo,Kyle Kuzma,Talen Horton-Tucker,Andre Iguodala,Quinn Cook,Precious Achiuwa,20210218,238.6723486806526,229.25,318.5
Bradley Beal,Luka Doncic,Kristaps Porzingis,DeMar DeRozan,Maxi Kleber,Troy Brown Jr,Tre Jones,Willie Cauley-Stein,20210310,238.68114848251417,256.0,300.75
CJ McCollum,Damian Lillard,Pascal Siakam,Kyle Kuzma,John Collins,PJ Dozier,Brandon Goodwin,Onyeka Okongwu,20210328,238.53831839437473,228.75,314.25
Bradley Beal,Russell Westbrook,Domantas Sabonis,Evan Fournier,Edmond Sumner,Alex Len,Grant Riller,Nick Richards,20210518,238.68281457122373,208.75,338.5
James Harden,Luka Doncic,Jayson Tatum,Evan Fournier,Jeff Green,Jabari Parker,Tremont Waters,Willie Cauley-Stein,20210522,238.72539855013343,218.5,350.75
Khris Middleton,Damian Lillard,Giannis Antetokounmpo,Jimmy Butler,Paul Millsap,Nemanja Bjelica,Sam Merrill,Precious Achiuwa,20210524,238.6377272575026,232.25,310.75
James Harden,Luka Doncic,Julius Randle,Evan Fournier,Taj Gibson,Willie Cauley-Stein,Tyler Johnson,Onyeka Okongwu,20210528,238.72774066520722,244.0,351.75
Bradley Beal,Russell Westbrook,Tobias Harris,Dillon Brooks,Kyle Anderson,Dwight Howard,Tyus Jones,Robin Lopez,20210531,238.6063846864406,246.5,271.25
James Harden,LeBron James,Kevin Durant,Evan Fournier,Blake Griffin,Jabari Parker,Anfernee Simons,Frank Kaminsky,20210601,238.73011889707894,240.0,303.25
Devin Booker,Damian Lillard,Anthony Davis,LeBron James,Rondae Hollis-Jefferson,Frank Kaminsky,Anfernee Simons,Montrezl Harrell,20210603,238.65910804444718,231.75,268.75
Paul George,Luka Doncic,Tobias Harris,Tim Hardaway Jr,John Collins,Furkan Korkmaz,Amir Coffey,Onyeka Okongwu,20210606,238.63376497305546,247.25,339.5
Kyrie Irving,Devin Booker,Giannis Antetokounmpo,Khris Middleton,Blake Griffin,Torrey Craig,Tyler Johnson,Reggie Perry,20210607,238.09769012476474,208.25,298.25
Paul George,Trae Young,Tobias Harris,Kawhi Leonard,Nicolas Batum,Shake Milton,Patrick Beverley,DeMarcus Cousins,20210608,238.65636460297713,212.25,279.5
Kyrie Irving,Donovan Mitchell,Giannis Antetokounmpo,Khris Middleton,Pat Connaughton,Georges Niang,Patrick Beverley,DeMarcus Cousins,20210610,238.70609070264635,225.75,285.5
Devin Booker,Trae Young,Tobias Harris,Will Barton,John Collins,Deandre Ayton,Shake Milton,Dario Saric,20210611,238.49527851552014,241.75,238.5
Kyrie Irving,Devin Booker,Giannis Antetokounmpo,Khris Middleton,Mikal Bridges,JaVale McGee,Chris Chiozza,Jeff Green,20210613,238.65815616156496,246.0,321.5
Donovan Mitchell,Trae Young,Tobias Harris,Kawhi Leonard,Danilo Gallinari,Terance Mann,Patrick Beverley,Onyeka Okongwu,20210614,238.6534388473594,252.75,272.25
Donovan Mitchell,Trae Young,Tobias Harris,Bojan Bogdanovic,John Collins,Joe Ingles,Rajon Rondo,Onyeka Okongwu,20210616,238.56594702083692,244.25,339.75
Paul George,Trae Young,Tobias Harris,Bojan Bogdanovic,John Collins,Furkan Korkmaz,Tyrese Maxey,Onyeka Okongwu,20210618,238.0584634289916,251.25,335.5
Paul George,Trae Young,Tobias Harris,Nicolas Batum,John Collins,Cameron Johnson,Rajon Rondo,DeMarcus Cousins,20210620,238.65880713287044,278.5,270.5
Paul George,Devin Booker,Nicolas Batum,Jae Crowder,Marcus Morris,Deandre Ayton,Patrick Beverley,Ivica Zubac,20210622,236.18625188209688,201.5,219.0
Khris Middleton,Trae Young,Giannis Antetokounmpo,Kevin Huerter,Danilo Gallinari,PJ Tucker,Bryn Forbes,Onyeka Okongwu,20210623,238.00329567231572,231.75,331.75
Khris Middleton,Trae Young,Giannis Antetokounmpo,Kevin Huerter,Pat Connaughton,PJ Tucker,Bryn Forbes,Bobby Portis,20210625,237.46487911316422,185.25,184.5
Paul George,Devin Booker,Nicolas Batum,Jae Crowder,Mikal Bridges,Chris Paul,Patrick Beverley,Ivica Zubac,20210626,237.72329177429242,218.5,243.5
Khris Middleton,Trae Young,Giannis Antetokounmpo,Kevin Huerter,Danilo Gallinari,Bryn Forbes,Jeff Teague,Onyeka Okongwu,20210627,235.75464797374948,242.75,272.5
Paul George,Devin Booker,Jae Crowder,Mikal Bridges,Nicolas Batum,Chris Paul,Patrick Beverley,Dario Saric,20210628,237.8590631100011,224.5,192.25
Khris Middleton,Jrue Holiday,Giannis Antetokounmpo,Kevin Huerter,Danilo Gallinari,Cam Reddish,Bryn Forbes,Onyeka Okongwu,20210629,237.4156566874269,199.0,187.5
Khris Middleton,Jrue Holiday,John Collins,Kevin Huerter,Danilo Gallinari,Clint Capela,Bogdan Bogdanovic,Onyeka Okongwu,20210701,234.37255321633788,286.5,304.25
